latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
48.736,133.84,312.4,3.6,1.8,2019-04-05,0115,T,72,6.0NRT,284.9,70.2,D
48.706,133.739,332.3,3.7,1.8,2019-04-05,0115,T,88,6.0NRT,285.4,203.4,D
48.689,133.788,317.4,3.6,1.8,2019-04-05,0115,T,77,6.0NRT,284.8,98.9,D
48.59,135.689,304.5,2.9,1.6,2019-04-05,0115,T,59,6.0NRT,284.7,33.2,D
48.626,133.685,309.2,3.7,1.8,2019-04-05,0115,T,46,6.0NRT,282,59.1,D
48.616,134.079,314.7,3.5,1.8,2019-04-05,0115,T,75,6.0NRT,288.5,78.7,D
48.615,134.127,321.5,3.5,1.8,2019-04-05,0115,T,81,6.0NRT,287.3,115.8,D
48.611,133.633,310,3.7,1.8,2019-04-05,0115,T,64,6.0NRT,281.2,63.6,D
48.6,134.078,337.5,3.5,1.8,2019-04-05,0115,T,91,6.0NRT,285.5,234.5,D
48.599,134.126,336.3,3.5,1.8,2019-04-05,0115,T,90,6.0NRT,285.9,221.5,D
48.623,134.073,303.8,3.5,1.8,2019-04-05,0115,T,48,6.0NRT,288,30.9,D
48.62,133.628,308.7,3.7,1.8,2019-04-05,0115,T,68,6.0NRT,281.4,61.6,D
48.619,133.678,315.7,3.7,1.8,2019-04-05,0115,T,76,6.0NRT,282.2,95.1,D
48.607,134.072,333.9,3.5,1.8,2019-04-05,0115,T,89,6.0NRT,287.5,211.4,D
48.606,134.12,348.5,3.5,1.8,2019-04-05,0115,T,95,6.0NRT,288.5,363.9,D
48.536,134.804,300.8,3.2,1.7,2019-04-05,0115,T,42,6.0NRT,284.1,22.9,D
48.478,134.667,306.4,3.3,1.7,2019-04-05,0115,T,10,6.0NRT,286.3,35.5,D
48.483,134.66,307.6,3.3,1.7,2019-04-05,0115,T,66,6.0NRT,286.1,42.8,D
48.467,134.659,306.4,3.3,1.7,2019-04-05,0115,T,63,6.0NRT,286.6,39.7,D
48.466,134.703,302.1,3.2,1.7,2019-04-05,0115,T,40,6.0NRT,285.3,24.7,D
48.212,131.973,301.8,4.5,2,2019-04-05,0115,T,49,6.0NRT,281.8,47.8,D
48.055,133.912,311.5,3.6,1.8,2019-04-05,0115,T,32,6.0NRT,285.8,48.3,D
48.063,133.907,313.4,3.6,1.8,2019-04-05,0115,T,74,6.0NRT,286.5,65.8,D
-29.863,116.366,307,4.1,1.9,2019-04-05,0140,T,46,6.0NRT,293.6,34.6,D
-29.98,116.552,311.1,4,1.9,2019-04-05,0140,T,69,6.0NRT,292.7,56.4,D
-30.127,116.923,316.8,3.8,1.8,2019-04-05,0140,T,76,6.0NRT,293.7,78.5,D
-30.317,116.898,317.2,3.7,1.8,2019-04-05,0140,T,76,6.0NRT,292.3,79.9,D
-30.326,116.937,314.2,3.7,1.8,2019-04-05,0140,T,73,6.0NRT,292.9,62.6,D
-30.316,116.932,321.4,3.7,1.8,2019-04-05,0140,T,80,6.0NRT,292.8,107.8,D
-30.782,116.711,305.4,3.7,1.8,2019-04-05,0140,T,55,6.0NRT,291.4,25.2,D
-30.555,115.616,307.6,4.4,1.9,2019-04-05,0140,T,61,6.0NRT,292.5,45,D
-30.566,115.662,305.7,4.4,1.9,2019-04-05,0140,T,55,6.0NRT,292.1,34.1,D
-30.553,115.609,305.6,4.4,1.9,2019-04-05,0140,T,56,6.0NRT,292.4,35,D
-30.565,115.655,307.2,4.4,1.9,2019-04-05,0140,T,61,6.0NRT,292.1,42.9,D
-31.321,117.62,313.5,3.2,1.7,2019-04-05,0140,T,60,6.0NRT,292.5,43.1,D
-31.336,117.615,313.9,3.2,1.7,2019-04-05,0140,T,61,6.0NRT,293.1,44.1,D
-31.318,117.615,308.8,3.2,1.7,2019-04-05,0140,T,60,6.0NRT,292.4,27.3,D
-31.333,117.61,314,3.2,1.7,2019-04-05,0140,T,74,6.0NRT,293,48.9,D
-31.347,116.732,306.4,3.6,1.8,2019-04-05,0140,T,63,6.0NRT,292.6,30.8,D
-32.321,119.037,307.5,2.4,1.5,2019-04-05,0140,T,64,6.0NRT,289.9,21.6,D
-33.373,118.296,305.1,2.5,1.5,2019-04-05,0140,T,57,6.0NRT,292.5,13.7,D
-22.719,-47.129,313.8,1.7,1.3,2019-04-05,0210,T,88,6.0NRT,288.5,27.2,N
-21.212,-54.232,307.9,1,1,2019-04-05,0210,T,73,6.0NRT,288.4,8,N
-21.778,-59.539,303.5,2.2,1.4,2019-04-05,0210,T,55,6.0NRT,291.4,10.6,N
-20.455,-50.009,316.3,1.2,1.1,2019-04-05,0210,T,93,6.0NRT,279.2,21.3,N
-20.455,-50.015,304.8,1.2,1.1,2019-04-05,0210,T,62,6.0NRT,277.9,10,N
-21.668,-60.358,302.4,2.5,1.5,2019-04-05,0210,T,26,6.0NRT,285.2,20.4,N
32.935,3.24,304.4,1,1,2019-04-05,0150,A,60,6.0NRT,280.2,10,N
31.82,6.227,301.4,1.5,1.2,2019-04-05,0150,A,39,6.0NRT,276.5,13.6,N
31.637,6.067,314.5,1.4,1.2,2019-04-05,0150,A,89,6.0NRT,281.2,27.5,N
31.59,5.962,300,1.4,1.2,2019-04-05,0150,A,7,6.0NRT,279.9,10.3,N
51.175,3.811,313.7,1.2,1.1,2019-04-05,0145,A,88,6.0NRT,278.3,22.1,N
44.929,7.376,316,1.1,1,2019-04-05,0145,A,92,6.0NRT,274.7,20.9,N
43.448,4.902,314.6,1,1,2019-04-05,0145,A,90,6.0NRT,277.3,17.6,N
14.904,-6.09,318,1.3,1.1,2019-04-05,0155,A,96,6.0NRT,295.3,21,N
14.902,-6.078,314.3,1.3,1.1,2019-04-05,0155,A,89,6.0NRT,295,16.1,N
14.273,-4.321,311.6,1.1,1,2019-04-05,0155,A,81,6.0NRT,292.5,10.9,N
14.271,-4.311,304.3,1.1,1,2019-04-05,0155,A,52,6.0NRT,292.5,5.7,N
14.264,-4.322,311.6,1.1,1,2019-04-05,0155,A,81,6.0NRT,292.9,10.7,N
14.262,-4.313,310.7,1.1,1,2019-04-05,0155,A,78,6.0NRT,293,10.1,N
13.275,-10.252,303.8,2.5,1.5,2019-04-05,0155,A,47,6.0NRT,292.1,12.8,N
11.4,-6.562,309.5,1.3,1.1,2019-04-05,0155,A,78,6.0NRT,294.4,9.5,N
55.033,21.474,305.6,2.2,1.4,2019-04-05,0140,A,65,6.0NRT,273,37.4,N
54.635,20.48,301.7,2.1,1.4,2019-04-05,0140,A,44,6.0NRT,273.4,25.7,N
54.634,20.475,303.6,2.1,1.4,2019-04-05,0140,A,33,6.0NRT,273.6,26.8,N
-20.594,-59.735,305.2,2.2,1.4,2019-04-05,0215,T,55,6.0NRT,284.1,18.4,N
-12.318,-57.293,319.2,1.2,1.1,2019-04-05,0215,T,98,6.0NRT,276.2,22.1,N
-12.314,-57.288,312.7,1.2,1.1,2019-04-05,0215,T,86,6.0NRT,276.2,16,N
-12.315,-57.299,303.2,1.2,1.1,2019-04-05,0215,T,54,6.0NRT,275.8,8.2,N
0.606,-60.159,305.5,1.2,1.1,2019-04-05,0220,T,63,6.0NRT,294,6.1,N
0.881,-59.604,303.7,1.1,1,2019-04-05,0220,T,56,6.0NRT,292.9,5,N
0.863,-60.354,304.1,1.2,1.1,2019-04-05,0220,T,58,6.0NRT,293.2,5.4,N
0.901,-60.23,306.8,1.2,1.1,2019-04-05,0220,T,69,6.0NRT,291.3,7.3,N
0.9,-60.241,304.5,1.2,1.1,2019-04-05,0220,T,60,6.0NRT,291.8,5.4,N
0.908,-60.317,312.6,1.2,1.1,2019-04-05,0220,T,85,6.0NRT,291.4,12.7,N
0.907,-60.328,305.8,1.2,1.1,2019-04-05,0220,T,44,6.0NRT,292.6,6.7,N
1.05,-59.397,328.4,1.1,1,2019-04-05,0220,T,100,6.0NRT,290.1,28.2,N
0.906,-60.547,305.3,1.2,1.1,2019-04-05,0220,T,64,6.0NRT,280.2,8.5,N
0.971,-60.156,302,1.2,1.1,2019-04-05,0220,T,46,6.0NRT,289.2,4.1,N
0.974,-60.431,303.8,1.2,1.1,2019-04-05,0220,T,57,6.0NRT,287,6.2,N
0.982,-60.654,304.5,1.2,1.1,2019-04-05,0220,T,60,6.0NRT,290.5,6.5,N
1.059,-60.185,317.5,1.2,1.1,2019-04-05,0220,T,95,6.0NRT,293.6,16,N
1.063,-60.181,309.5,1.2,1.1,2019-04-05,0220,T,78,6.0NRT,293.3,9.2,N
1.061,-60.191,309.6,1.2,1.1,2019-04-05,0220,T,78,6.0NRT,293.5,9.2,N
1.026,-60.433,304.4,1.2,1.1,2019-04-05,0220,T,35,6.0NRT,291.6,5.6,N
