latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-29.737,116.035,346.2,1,1,2019-04-06,02:20,T,92,6.0NRT,306.1,44.8,D
-29.729,116.048,336.4,1,1,2019-04-06,02:20,T,85,6.0NRT,311.8,26.4,D
-29.728,116.037,364.8,1,1,2019-04-06,02:20,T,100,6.0NRT,315.3,91.9,D
-29.688,115.969,335.1,1,1,2019-04-06,02:20,T,84,6.0NRT,309.2,25.3,D
-29.687,115.958,346.1,1,1,2019-04-06,02:20,T,92,6.0NRT,308.8,44.8,D
-29.785,116.652,357.4,1,1,2019-04-06,02:20,T,98,6.0NRT,312.3,69.5,D
-29.784,116.642,355.1,1,1,2019-04-06,02:20,T,97,6.0NRT,311,63.8,D
-29.679,115.97,332.6,1,1,2019-04-06,02:20,T,82,6.0NRT,310.4,21.5,D
-29.678,115.96,341,1,1,2019-04-06,02:20,T,89,6.0NRT,311.9,34.9,D
-29.305,115.639,319.1,1.1,1,2019-04-06,02:20,T,55,6.0NRT,308.1,5.8,D
-29.296,115.641,343.1,1.1,1,2019-04-06,02:20,T,90,6.0NRT,311,40.5,D
-29.294,115.63,334.6,1.1,1,2019-04-06,02:20,T,83,6.0NRT,310.1,25.5,D
-29.227,116.132,320,1,1,2019-04-06,02:20,T,60,6.0NRT,309,5.5,D
-20.551,120.307,324.5,1,1,2019-04-06,02:20,T,26,6.0NRT,311.5,6.1,D
-20.553,120.317,326.2,1,1,2019-04-06,02:20,T,12,6.0NRT,312,7.1,D
-20.563,120.325,332.9,1,1,2019-04-06,02:20,T,39,6.0NRT,312.8,14.1,D
-20.572,120.327,342.1,1,1,2019-04-06,02:20,T,87,6.0NRT,313.3,31.1,D
-20.573,120.337,330.8,1,1,2019-04-06,02:20,T,73,6.0NRT,312.4,13.4,D
-20.581,120.326,338.7,1,1,2019-04-06,02:20,T,84,6.0NRT,313.8,25.4,D
-20.587,120.305,333.2,1,1,2019-04-06,02:20,T,77,6.0NRT,312.9,17.8,D
-20.589,120.315,342.3,1,1,2019-04-06,02:20,T,87,6.0NRT,312.7,31.6,D
